"Category","Finland","Austria","Sweden","Norway","U.S.","East Germany","West Germany","Germany","Netherlands","Italy","Canada","Switzerland","Great Britain","France","Hungary","Unified Team","Soviet Union","Russia","Japan","Czechoslovakia","Poland","Spain","China","South Korea","Czech Republic","Belarus","Kazakhstan","Bulgaria","Denmark","Ukraine","Australia","Belgium","Romania","Liechtenstein","Yugoslavia","Luxembourg","New Zealand","North Korea","Slovakia","Croatia","Slovenia","Latvia","Estonia","Uzbekistan"
"1924 Chamonix",11,3,2,17,4,0,0,0,0,0,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1928 St. Moritz",4,4,5,15,6,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1932 Lake Placid",3,2,3,10,12,0,0,2,0,0,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1936 Garmisch-Partenkirchen",6,4,7,15,4,0,0,6,0,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1948 St. Moritz",6,8,10,10,9,0,0,0,0,1,3,10,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"1952 Oslo",9,8,4,16,11,0,0,7,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1956 Cortina d'Ampezzo",7,11,10,4,7,0,0,2,0,3,3,6,0,0,1,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1960 Squaw Valley",8,6,7,6,10,0,0,8,2,1,4,2,0,3,0,0,21,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1964 Innsbruck",10,12,7,15,7,0,0,9,2,4,3,0,1,7,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1968 Grenoble",5,11,8,14,7,5,7,0,9,4,3,6,0,9,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1972 Sapporo",5,5,4,12,8,14,5,0,9,5,1,10,0,3,0,0,16,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1976 Innsbruck",7,6,2,7,10,19,10,0,6,4,3,5,1,1,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"1980 Lake Placid",9,7,4,10,12,23,5,0,4,2,2,5,1,1,1,0,22,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"1984 Sarajevo",13,1,8,9,8,24,4,0,0,2,4,5,1,3,0,0,25,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"1988 Calgary",7,10,6,5,6,25,8,0,7,5,5,15,0,2,0,0,29,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"1992 Albertville",7,21,4,20,11,0,0,26,4,14,7,3,0,9,0,23,0,0,7,3,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
"1994 Lillehammer",6,9,3,26,13,0,0,24,4,20,13,9,2,5,0,0,0,23,5,0,0,0,3,6,0,2,3,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,1
"1998 Nagano",12,17,3,25,13,0,0,29,11,10,15,7,1,8,0,0,0,18,10,0,0,0,8,6,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"2002 Salt Lake City",7,17,7,25,34,0,0,36,8,13,17,11,2,11,0,0,0,13,2,0,2,0,8,4,3,1,0,3,0,0,2,0,0,0,0,0,0,0,0,4,1,0,3,0
"2006 Turin",9,23,14,19,25,0,0,29,9,11,24,14,1,9,0,0,0,22,1,0,2,0,11,11,4,1,0,1,0,2,2,0,0,0,0,0,0,0,1,3,0,1,3,0
"2010 Vancouver",5,16,11,23,37,0,0,30,8,5,26,9,1,11,0,0,0,15,5,0,6,0,11,14,6,3,1,0,0,0,3,0,0,0,0,0,0,0,3,3,3,2,1,0
"2014 Sochi",5,17,15,26,28,0,0,19,24,8,25,11,4,15,0,0,0,33,8,0,6,0,9,8,8,6,1,0,0,2,3,0,0,0,0,0,0,0,1,1,8,4,0,0
